patent_name,patent_id_str,uspto_link,patent_id,google_url
"Thieno(3,2-d)pyrimidines and salts thereof",3475429A,https://patents.google.com/patent/US3475429A/en?q=D&oq=D,3475429A,https://patents.google.com/patent/US3475429A
Dual feedback control for a high-efficiency class-d power amplifier circuit,7745653,https://patents.google.com/patent/US5118997A/en?q=D&oq=D,7745653,https://patents.google.com/patent/US7745653
3-D weather display and weathercast system,5583972A,https://patents.google.com/patent/US5583972A/en?q=D&oq=D,5583972A,https://patents.google.com/patent/US5583972A
Fiber optic sensor for precision 3-D position measurement,10376184,https://patents.google.com/patent/US6888623B2/en?q=D&oq=D,10376184,https://patents.google.com/patent/US10376184
D polyolefin plastic thermoplastic blend of partially cured monoolefin copolymer rubber an,3758643A,https://patents.google.com/patent/US3758643A/en?q=D&oq=D,3758643A,https://patents.google.com/patent/US3758643A
Method of determining relative camera orientation position to create 3-D visual images,9003389,https://patents.google.com/patent/US6094215A/en?q=D&oq=D,9003389,https://patents.google.com/patent/US9003389
2-D bar code scanner/decoder having a redundancy canceller,8069581,https://patents.google.com/patent/US5477042A/en?q=D&oq=D,8069581,https://patents.google.com/patent/US8069581
"Driver for a high efficiency, high frequency Class-D power amplifier",7454614,https://patents.google.com/patent/US5023566A/en?q=D&oq=D,7454614,https://patents.google.com/patent/US7454614
"N-oxides of amino containing pyrido 2,3-D! pyrimidines",9015739,https://patents.google.com/patent/US5945422A/en?q=D&oq=D,9015739,https://patents.google.com/patent/US9015739
Ultrasound-based 3-D tracking system using a digital signal processor,8842807,https://patents.google.com/patent/US5779638A/en?q=D&oq=D,8842807,https://patents.google.com/patent/US8842807
Estimation of timing offsets in parallel A/D converters,9986126,https://patents.google.com/patent/US6522282B1/en?q=D&oq=D&page=1,9986126,https://patents.google.com/patent/US9986126
Modulators of ?-amyloid peptide aggregation comprising D-amino acids,6303567B1,https://patents.google.com/patent/US6303567B1/en?q=D&oq=D&page=1,6303567B1,https://patents.google.com/patent/US6303567B1
